learning_rate	n_estimators	max_depth	$\mu$	$\sigma$	$f_o$
0.1	500.0	6.0	0.755998016186423	0.0008454481350688932	0.7543071199162853
0.1	500.0	12.0	0.7670472771990069	0.0010898308866650144	0.7648676154256768
0.1	1000.0	6.0	0.7627220359008278	0.0012921327393016846	0.7601377704222244
0.1	1000.0	12.0	0.7664631390987766	0.0016374156037297512	0.7631883078913171
0.3	500.0	6.0	0.764780274761438	0.0011347440324248556	0.7625107866965882
0.3	500.0	12.0	0.7655843033785825	0.0009131045040258834	0.7637580943705308
0.3	1000.0	6.0	0.7643674882203598	0.0013484394946386984	0.7616706092310824
0.3	1000.0	12.0	0.7662566723226388	0.0011127102663824936	0.7640312517898739
0.5	500.0	6.0	0.7641347704925189	0.0010160465215568887	0.7621026774494051
0.5	500.0	12.0	0.7621984814052389	0.0008112056375483983	0.7605760701301422
0.5	1000.0	6.0	0.7643572491169502	0.0011345363939853656	0.7620881763289795
0.5	1000.0	12.0	0.7630502522985865	0.0008327535410032384	0.76138474521658
1.0	500.0	6.0	0.7598776197423331	0.0019688751904925073	0.7559398693613482
1.0	500.0	12.0	0.7547547658587108	0.0011393314994869647	0.7524761028597369
1.0	1000.0	6.0	0.7594282362167577	0.00133583543513778	0.7567565653464822
1.0	1000.0	12.0	0.7539993155154906	0.0014087392964168917	0.7511818369226568
