$rho$	$C$	$\mu$	$\sigma$	$f_o$
0.0	0.1	0.7082590075328135	0.0010775566867459643	0.7061038941593215
0.0	1.0	0.7104484308172914	0.0008961906189104781	0.7086560495794704
0.0	10.0	0.7103928342271087	0.0009103495588838087	0.7085721351093411
0.5	0.1	0.7089371494447615	0.000980630975223709	0.7069758874943141
0.5	1.0	0.7109841533695527	0.0009683601574143594	0.709047433054724
0.5	10.0	0.7110001435479935	0.0011553775699956388	0.7086893884080022
1.0	0.1	0.7098559887437329	0.000689077596842065	0.7084778335500488
1.0	1.0	0.7111196409100655	0.0006170933709709399	0.7098854541681237
1.0	10.0	0.7108137173514042	0.0012186306817157063	0.7083764559879728
