variant	$\lambda$	$\mu$	$\sigma$	$f_o$
1.0		0.6767015810435464	0.001237519453383046	0.6742265421367802
2.0		0.6791268137667771	0.0012621760755585595	0.67660246161566
3.0	0.09090909090909091	0.6792777962030929	0.0013317895187316565	0.6766142171656296
3.0	0.18181818181818182	0.6792777962030929	0.0013317895187316565	0.6766142171656296
3.0	0.2727272727272727	0.6792777962030929	0.0013317895187316565	0.6766142171656296
3.0	0.36363636363636365	0.6792777962030929	0.0013317895187316565	0.6766142171656296
3.0	0.4545454545454546	0.6792777962030929	0.0013317895187316565	0.6766142171656296
3.0	0.5454545454545454	0.6792777962030929	0.0013317895187316565	0.6766142171656296
3.0	0.6363636363636364	0.6792777962030929	0.0013317895187316565	0.6766142171656296
3.0	0.7272727272727273	0.6792777962030929	0.0013317895187316565	0.6766142171656296
3.0	0.8181818181818182	0.6792777962030929	0.0013317895187316565	0.6766142171656296
3.0	0.9090909090909092	0.6792777962030929	0.0013317895187316565	0.6766142171656296
